echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220922 041636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	757577	0.167344325132632	0.216554530282588	3290	1017	0.030167368606983	25952000	57
20220922 042044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	786	TRUE	757577	0.0106706797842282	0.988516361260671	4710	45	0.044319843502171	27352000	58
20220922 042707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1115	TRUE	757577	0.010160576927463	0.606600113022036	4949	565	0.04724518814243	27104000	59
20220922 042747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	757577	0.213560177935622	0.217708135293931	7193	1019	0.0447566466454884	25946000	60
20220922 043618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	635	TRUE	757577	0.0100345541443211	0.531850786990209	858	550	0.0426636870679862	28430000	61
20220922 044033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	616	TRUE	757577	0.0101856950648625	0.614017660042207	4039	381	0.0439120641624219	27240000	62
20220922 044743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	581	TRUE	757577	0.0100584193080434	0.389516849437898	784	669	0.0481827724764519	27844000	63
20220922 045612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	994	TRUE	757577	0.0102997591959863	0.46290215991446	2757	1022	0.064159908470647	26586000	64
20220922 050317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1778	TRUE	757577	0.0100373917658275	0.973304258235939	5572	821	0.026298160935608	25496000	65
20220922 050415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	757577	0.077427099219992	0.999112411297526	6414	859	0.0580505612680997	26216000	66
20220922 050500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	757577	0.109060847254469	0.88098499630977	7995	19	0.0423530371031826	26376000	67
20220922 050629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	364	TRUE	757577	0.0448884114745955	0.71038250718323	7995	1024	0.0397927916309007	26608000	68
20220922 050719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	757577	0.0792462903851234	0.697433030670125	5561	16	0.046019288737201	26674000	69
20220922 050748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	757577	0.299885651179058	0.796352288369524	7988	415	0.0351964090448719	25514000	70
20220922 051257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1276	TRUE	757577	0.010516253394515	0.955799293913593	6777	37	0.038005339649352	26618000	71
20220922 051702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1127	TRUE	757577	0.0101092024781035	0.73208490334802	1415	16	0.0614982195528851	26680000	72
20220922 051859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	380	TRUE	757577	0.062843624188551	0.202078714202901	8000	909	0.0570037367352006	26094000	73
20220922 051949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	757577	0.0757081925535293	0.204208149344924	4280	16	0.0490222172390906	26680000	74
20220922 052153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	526	TRUE	757577	0.133026852171967	0.996787390821495	4053	641	0.0125063203781685	26176000	75
20220922 052233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	757577	0.0826277247339637	0.999957138412156	4499	483	0.0397243590764361	26484000	76
20220922 052353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	360	TRUE	757577	0.299974387095794	0.799492483784512	5997	1022	0.0126026699040016	24102000	77
20220922 052502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5	TRUE	757577	0.0228716101204871	0.205610846658987	3084	1023	0.0126008111363219	19510000	78
20220922 052547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	757577	0.116386500067103	0.967511394887071	2455	935	0.0312327341752181	26208000	79
20220922 052633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	757577	0.195745413539563	0.996964368454352	3907	180	0.0244135082910763	25128000	80
20220922 053636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	841	TRUE	757577	0.0100499855047217	0.57437767192289	841	739	0.0414764585959302	28302000	81
20220922 053721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	757577	0.151731389139334	0.258380509269232	3807	1024	0.0504327749976153	26372000	82
20220922 054314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	421	TRUE	757577	0.0100681726913246	0.832914841388392	747	1023	0.0610827509275778	26406000	83
20220922 054346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	757577	0.173170647380193	0.960202494394808	7997	1016	0.0494540397127072	26350000	84
20220922 055155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	990	TRUE	757577	0.0102299542341308	0.47589072921799	4280	1024	0.0719001303274703	25308000	85
