echa	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220919 143937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	647	TRUE	999983	0.010950776233971	0.202735071895792	2781	270	0.02421612903586	25100000	92
20220919 125312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	999983	0.028010638833379	0.333009774320123	3027	989	0.027999632096578	25094000	47
20220919 113156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	999983	0.04178682367201	0.45337490849779	7062	684	0.022574626342102	25062000	4
20220919 130414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	753	TRUE	999983	0.012712421437635	0.336106683651916	5523	470	0.025504732950138	25040000	50
20220919 114652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	284	TRUE	999983	0.017599632712372	0.663406754040625	2063	962	0.017439941898047	25008000	17
20220919 113037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	244	TRUE	999983	0.04591712248727	0.555237701238366	6194	768	0.029307920650026	24988000	2
20220919 122701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	999983	0.047212791265971	0.572143966071007	2797	802	0.025677220770434	24952000	34
20220919 114455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	999983	0.050418589646462	0.393342668999685	2583	293	0.020189558141574	24838000	14
20220919 130649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	999983	0.040845502994502	0.598714322041786	6111	171	0.025723980279888	24780000	54
20220919 135439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	999983	0.045972601949091	0.273993335018057	5654	932	0.024463281072081	24648000	72
20220919 115217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2429	TRUE	999983	0.010235904520436	0.2325512517069	2862	486	0.012509792939381	24554000	19
20220919 114553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	999983	0.058982148387586	0.204587185761193	4647	1023	0.034868579788308	24482000	16
20220919 112958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	285	TRUE	999983	0.052688279370428	0.299157665245002	5195	337	0.032009144501208	24376000	1
20220919 113519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	736	TRUE	999983	0.014961464469088	0.5203979268088	5372	863	0.035396682702558	24108000	7
20220919 114805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	644	TRUE	999983	0.023165865875024	0.303071844897931	7800	669	0.014950761583168	24106000	18
20220919 113232	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	999983	0.033453587830358	0.348902071965858	3306	117	0.038762943468464	24046000	5
20220919 115321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	436	TRUE	999983	0.032118769015069	0.495916311291512	4765	418	0.037012789433939	23722000	20
20220919 114135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1309	TRUE	999983	0.00505612900242	0.438433146913303	3596	178	0.043238806707668	23490000	11
20220919 113329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	546	TRUE	999983	0.020376840942539	0.628366229543462	7331	525	0.042237611126766	22912000	6
20220919 114326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	887	TRUE	999983	0.011926955480361	0.261497647390934	6329	458	0.047989815928304	22180000	12
20220919 114530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	213	TRUE	999983	0.048043117716909	0.534584011381958	7615	897	0.045651468289725	22116000	15
20220919 113650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	999983	0.057057353679498	0.408698133379221	4337	59	0.049860764534969	21824000	9
